ID,Rule Name,Type,Severity,Total,Projects,Example
csharpsquid:S4200,csharpsquid:S4200,CODE_SMELL,MAJOR,1077,"Foster, ScreenToGif",Make this native method private and provide a wrapper.
external_roslyn:CA1401,external_roslyn:CA1401,CODE_SMELL,INFO,667,"Foster, ScreenToGif",P/Invoke method 'SDL_GetTrayEntryParent' should not be visible
csharpsquid:S101,csharpsquid:S101,CODE_SMELL,MINOR,617,"Foster, Chloe, ScreenToGif","Rename class 'Compare_HandlerBase' to match pascal case naming rules, consider using 'CompareHandlerBase'."
csharpsquid:S2325,csharpsquid:S2325,CODE_SMELL,MINOR,470,"Saunter, SoundFlow, lunr, ScreenToGif, Riter, Foster, Chloe",Make 'IsFreeTextShadowGroupExpanded' a static property.
external_roslyn:CA1822,external_roslyn:CA1822,CODE_SMELL,INFO,439,"RestSharp, Saunter, SoundFlow, lunr, ScreenToGif, Riter, Foster",Member 'CursorFollowing' does not access instance data and can be marked as static
csharpsquid:S125,csharpsquid:S125,CODE_SMELL,MAJOR,386,"RestSharp, Chloe, Saunter, ScreenToGif",Remove this commented out code.
csharpsquid:S2933,csharpsquid:S2933,CODE_SMELL,MAJOR,372,"Chloe, lunr, ScreenToGif",Make '_typeDescriptor' 'readonly'.
external_roslyn:RCS1261,external_roslyn:RCS1261,CODE_SMELL,INFO,259,spreadcheetah,Resource can be disposed asynchronously
csharpsquid:S3776,csharpsquid:S3776,CODE_SMELL,CRITICAL,252,"Lynx, RestSharp, spreadcheetah, SoundFlow, lunr, ScreenToGif, Riter, Foster, Chloe",Refactor this method to reduce its Cognitive Complexity from 92 to the 15 allowed.
csharpsquid:S112,csharpsquid:S112,CODE_SMELL,MAJOR,157,"Lynx, RestSharp, lunr, ScreenToGif, Riter, Foster, Chloe",'System.NullReferenceException' should not be thrown by user code.
csharpsquid:S4136,csharpsquid:S4136,CODE_SMELL,MINOR,150,"RestSharp, lunr, ScreenToGif, Foster, Chloe",All 'Average' method overloads should be adjacent.
csharpsquid:S1104,csharpsquid:S1104,CODE_SMELL,MINOR,143,"Foster, SoundFlow, lunr, ScreenToGif",Make this field 'private' and encapsulate it in a 'public' property.
csharpsquid:S1135,csharpsquid:S1135,CODE_SMELL,INFO,138,"Foster, Chloe, SoundFlow, ScreenToGif",Complete the task associated to this 'TODO' comment.
csharpsquid:S6608,csharpsquid:S6608,CODE_SMELL,MINOR,121,"RestSharp, Chloe, ScreenToGif","Indexing at 0 should be used instead of the ""Enumerable"" extension method ""First"""
