Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
71fbfdf6-a84a-4246-9fb1-ffc05706321a,CODE_SMELL,MAJOR,lunr:LunrCore/Vector.cs,48,Extract the assignment of '_magnitude' from this expression.,5min,5min,csharpsquid:S1121,cwe;suspicious
26443f25-0ead-4082-8d2c-f4631efd2086,CODE_SMELL,CRITICAL,lunr:LunrCore/Serialization/InvertedIndexEntryJsonConverter.cs,10,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
f8d07639-a377-4c3f-be0e-7157706cf724,CODE_SMELL,INFO,lunr:LunrCoreLmdbTests/SerializationTests.cs,140,"ValueTask instances returned from method calls should be directly awaited, returned, or passed as an argument to another method call. Other usage, such as storing an instance into a local or a field, is likely an indication of a bug, as ValueTask instances must only ever be consumed once.",0min,0min,external_roslyn:CA2012,
26bdf6ad-d40e-4fc2-af28-749f8c714064,CODE_SMELL,CRITICAL,lunr:LunrCoreLmdb/DelegatedIndex.cs,132,Refactor this method to reduce its Cognitive Complexity from 91 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
c6b295aa-e599-4902-9f7d-0b94df347789,CODE_SMELL,CRITICAL,lunr:LunrCore/Builder.cs,219,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
f7753559-e9fe-4eeb-badd-0cc2662e46fa,CODE_SMELL,MAJOR,lunr:LunrCore/Index.cs,85,"Method has 9 parameters, which is greater than the 7 authorized.",20min,20min,csharpsquid:S107,brain-overload
48a719c5-05d4-4853-9ee0-ea3e713d52b2,CODE_SMELL,CRITICAL,lunr:LunrCore/Index.cs,254,Refactor this method to reduce its Cognitive Complexity from 129 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
3f05db1a-a0bd-4a8e-9070-cfb65500728c,CODE_SMELL,INFO,lunr:LunrCore/Set.cs,16,Non-constant fields should not be visible,0min,0min,external_roslyn:CA2211,
c1715dd2-3297-4735-bba7-e69f964be3a1,CODE_SMELL,MINOR,lunr:LunrCore/Set.cs,16,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
cc082833-0e83-4ab8-8df9-ccda16eec133,CODE_SMELL,CRITICAL,lunr:LunrCore/Set.cs,16,Change the visibility of 'Empty' or make it 'const' or 'readonly'.,20min,20min,csharpsquid:S2223,pitfall
2763db45-9451-4d8a-89af-54e592b317d6,CODE_SMELL,MINOR,lunr:LunrCore/Set.cs,57,Private classes which are not derived in the current assembly should be marked as 'sealed'.,5min,5min,csharpsquid:S3260,performance
7d623a59-3e74-42ef-ac42-8a8394618237,CODE_SMELL,CRITICAL,lunr:LunrCore/TokenSet.cs,96,Refactor this method to reduce its Cognitive Complexity from 39 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
8a958297-2d3a-42f8-8f47-e512442db1ad,CODE_SMELL,INFO,lunr:LunrCoreLmdbPerf/InterpolateVsAdd.cs,11,Member 'Interpolate' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
ab3c38d7-a9d9-4241-8140-e7e80e763ca9,CODE_SMELL,INFO,lunr:LunrCoreLmdbPerf/InterpolateVsAdd.cs,19,Member 'Add' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
dffa527b-6b80-4b92-834e-8164cb4e3cfa,CODE_SMELL,MAJOR,lunr:LunrCoreLmdb/LmdbBuilder.cs,138,Extract this nested ternary operation into an independent statement.,5min,5min,csharpsquid:S3358,confusing
dd23949c-0555-4038-bdd6-f189f590c65d,CODE_SMELL,INFO,lunr:LunrCoreLmdb/LmdbBuilder.cs,177,Use 'string.Contains' instead of 'string.IndexOf' to improve readability,0min,0min,external_roslyn:CA2249,
d8ca4f03-fdea-43c1-9dff-8367f447c04e,CODE_SMELL,CRITICAL,lunr:LunrCoreLmdb/LmdbBuilder.cs,218,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
441d66a1-1ed8-4ab8-8aa1-00bc2965f0c9,CODE_SMELL,MINOR,lunr:LunrCoreLmdb/LmdbBuilder.cs,357,Loop should be simplified by calling Select(field => field.Name)),5min,5min,csharpsquid:S3267,
f8a284d0-e783-4cde-aa4e-79bed90dee75,CODE_SMELL,MINOR,lunr:LunrCoreLmdb/LmdbBuilder.cs,424,Change return type to 'void'; not a single caller uses the returned value.,2min,2min,csharpsquid:S3241,design;unused
