ID,Total,Pattern,Projects,CWE,SAST ID,Level,Example
Renew,277,Casting potential 'null' value of 'GetValue()' to a value type can lead to NullReferenceException.,GifRecorder,476,,2,Casting potential 'null' value of 'GetValue()' to a value type can lead to NullReferenceException.
V3001,80,An odd precise comparison:  . Consider using a comparison with defined precision: Math.Abs(A - B)   Epsilon.,"LunrCore, GifRecorder, SoundFlow, Foster_issues, Foster",682,,3,An odd precise comparison: vector.X == 0. Consider using a comparison with defined precision: Math.Abs(A - B) < Epsilon.
V3002,58,Expression 'paramValue != null' is always true.,"LunrCore, GifRecorder, RestSharp, Chloe, Lynx, SpreadCheetah",571,,3,Expression 'paramValue != null' is always true.
V3008,57,An object 'default(IQuery<T>)' is used as an argument to its own method. Consider checking the first actual argument of the ' ' method.,"Chloe, GifRecorder",0,,2,An object 'default(IQuery<T>)' is used as an argument to its own method. Consider checking the first actual argument of the 'Max' method.
V3009,48,Checking value of ' ' for null will always return false when generic type is instantiated with a value type.,"Chloe, SpreadCheetah, GifRecorder",0,,3,Checking value of 'value' for null will always return false when generic type is instantiated with a value type.
V3010,45,An empty exception handler. Silent suppression of exceptions may hide the presence of bugs or vulnerabilities.,"RestSharp, GifRecorder, Riter, SoundFlow, Chloe, Foster_issues, Foster",1069,OWASP-7.4.2,3,An empty exception handler. Silent suppression of exceptions may hide the presence of bugs or vulnerabilities.
V3012,29,IDisposable object ' ' is not disposed before method returns.,"Lynx, SoundFlow",404,,2,IDisposable object 'position' is not disposed before method returns.
V3013,28,Loop break conditions do not depend on the number of iterations.,Lynx,0,,2,Loop break conditions do not depend on the number of iterations.
V3020,27,Dereferencing the result of 'as' operator  can lead to NullReferenceException. Consider inspecting ,"Chloe, GifRecorder",476,,3,Dereferencing the result of 'as' operator can lead to NullReferenceException. Consider inspecting 'prevIncludeExpression'.
V3022,25,The 'a ' object was used before it was verified against null. Check lines: ,"Chloe, GifRecorder",476,,2,"The 'a.Name' object was used before it was verified against null. Check lines: 56, 57."
V3023,21,Possible path traversal vulnerability. Potentially tainted data from the ' ' variable is used as path.,"Foster_issues, Foster, GifRecorder",22,OWASP-12.3.1,3,Possible path traversal vulnerability. Potentially tainted data from the 'file' variable is used as path.
V3024,21,The switch statement does not cover all values of the 'SpecialMoveType' enum: DoublePawnPush.,"Lynx, GifRecorder",0,,2,The switch statement does not cover all values of the 'SpecialMoveType' enum: DoublePawnPush.
V3032,20,The ' ' object was used after it was verified against null. Check lines: ,"Chloe, Riter, GifRecorder",476,,2,"The 'model' object was used after it was verified against null. Check lines: 196, 188."
V3041,20,Potentially infinite loop. The ' ' variable from the loop exit condition does not change its value between iterations.,Lynx,835,,1,Potentially infinite loop. The 'pawns' variable from the loop exit condition does not change its value between iterations.
V3043,17,Possible null dereference . Consider inspecting ,"Chloe, Riter, GifRecorder",476,,2,Possible null dereference. Consider inspecting 'dbJoinTable'.
V3047,17,"It is odd that the body of 'For Than' function is fully equivalent to the body of 'For ThanOrEqual' function ( , line ","LunrCore, GifRecorder, RestSharp, Chloe, Lynx",0,,3,"It is odd that the body of 'ForGreaterThan' function is fully equivalent to the body of 'ForGreaterThanOrEqual' function (234, line 244)."
V3051,17,A part of conditional expression is always false if it is evaluated: other.Controllers[i].Connected.,"GifRecorder, RestSharp, Foster_issues, Lynx, Foster",570,,2,A part of conditional expression is always false if it is evaluated: other.Controllers[i].Connected.
V3052,16,Constructor parameter ' ' is not used.,"Lynx, SpreadCheetah, GifRecorder",0,,2,Constructor parameter 'calculateFen' is not used.
V3054,16,The f  argument of the ' ' metho d is not expected to be null.,GifRecorder,628,,2,The first argument of the 'Format' method is not expected to be null.
V3056,14,The return value of function 'Advance' is required to be utilized.,"Foster_issues, Lynx, Foster",252,,2,The return value of function 'Advance' is required to be utilized.
V3057,13,"The 'Page' class containing IDisposable members does not itself implement IDisposable. Inspect: image, atlas.","LunrCore, RestSharp, GifRecorder, SoundFlow, Foster_issues, Lynx, Foster",0,,2,"The 'Page' class containing IDisposable members does not itself implement IDisposable. Inspect: image, atlas."
V3060,11,"Error message contains potentially sensitive data, in ' Message', that may be exposed.","GifRecorder, Lynx, SoundFlow, RestSharp",535,OWASP-8.3.5,3,"Error message contains potentially sensitive data, in 'errorMessage', that may be exposed."
V3062,9,Two or more case-branches perform the same actions.,"Foster_issues, Foster, GifRecorder",0,,2,Two or more case-branches perform the same actions.
