project,key,type,severity,rule,rule_name,file,line,message,effort,tags
lunr,71fbfdf6-a84a-4246-9fb1-ffc05706321a,CODE_SMELL,MAJOR,csharpsquid:S1121,csharpsquid:S1121,lunr:LunrCore/Vector.cs,48,Extract the assignment of '_magnitude' from this expression.,5min,"cwe,suspicious"
lunr,26443f25-0ead-4082-8d2c-f4631efd2086,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCore/Serialization/InvertedIndexEntryJsonConverter.cs,10,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,brain-overload
lunr,f8d07639-a377-4c3f-be0e-7157706cf724,CODE_SMELL,INFO,external_roslyn:CA2012,external_roslyn:CA2012,lunr:LunrCoreLmdbTests/SerializationTests.cs,140,"ValueTask instances returned from method calls should be directly awaited, returned, or passed as an argument to another method call. Other usage, such as storing an instance into a local or a field, is likely an indication of a bug, as ValueTask instances must only ever be consumed once.",0min,
lunr,26bdf6ad-d40e-4fc2-af28-749f8c714064,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCoreLmdb/DelegatedIndex.cs,132,Refactor this method to reduce its Cognitive Complexity from 91 to the 15 allowed.,6min,brain-overload
lunr,c6b295aa-e599-4902-9f7d-0b94df347789,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCore/Builder.cs,219,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,6min,brain-overload
lunr,f7753559-e9fe-4eeb-badd-0cc2662e46fa,CODE_SMELL,MAJOR,csharpsquid:S107,csharpsquid:S107,lunr:LunrCore/Index.cs,85,"Method has 9 parameters, which is greater than the 7 authorized.",20min,brain-overload
lunr,48a719c5-05d4-4853-9ee0-ea3e713d52b2,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCore/Index.cs,254,Refactor this method to reduce its Cognitive Complexity from 129 to the 15 allowed.,6min,brain-overload
lunr,3f05db1a-a0bd-4a8e-9070-cfb65500728c,CODE_SMELL,INFO,external_roslyn:CA2211,external_roslyn:CA2211,lunr:LunrCore/Set.cs,16,Non-constant fields should not be visible,0min,
lunr,c1715dd2-3297-4735-bba7-e69f964be3a1,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,lunr:LunrCore/Set.cs,16,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
lunr,cc082833-0e83-4ab8-8df9-ccda16eec133,CODE_SMELL,CRITICAL,csharpsquid:S2223,csharpsquid:S2223,lunr:LunrCore/Set.cs,16,Change the visibility of 'Empty' or make it 'const' or 'readonly'.,20min,pitfall
lunr,2763db45-9451-4d8a-89af-54e592b317d6,CODE_SMELL,MINOR,csharpsquid:S3260,csharpsquid:S3260,lunr:LunrCore/Set.cs,57,Private classes which are not derived in the current assembly should be marked as 'sealed'.,5min,performance
lunr,7d623a59-3e74-42ef-ac42-8a8394618237,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCore/TokenSet.cs,96,Refactor this method to reduce its Cognitive Complexity from 39 to the 15 allowed.,6min,brain-overload
lunr,8a958297-2d3a-42f8-8f47-e512442db1ad,CODE_SMELL,INFO,external_roslyn:CA1822,external_roslyn:CA1822,lunr:LunrCoreLmdbPerf/InterpolateVsAdd.cs,11,Member 'Interpolate' does not access instance data and can be marked as static,0min,
lunr,ab3c38d7-a9d9-4241-8140-e7e80e763ca9,CODE_SMELL,INFO,external_roslyn:CA1822,external_roslyn:CA1822,lunr:LunrCoreLmdbPerf/InterpolateVsAdd.cs,19,Member 'Add' does not access instance data and can be marked as static,0min,
lunr,dffa527b-6b80-4b92-834e-8164cb4e3cfa,CODE_SMELL,MAJOR,csharpsquid:S3358,csharpsquid:S3358,lunr:LunrCoreLmdb/LmdbBuilder.cs,138,Extract this nested ternary operation into an independent statement.,5min,confusing
lunr,dd23949c-0555-4038-bdd6-f189f590c65d,CODE_SMELL,INFO,external_roslyn:CA2249,external_roslyn:CA2249,lunr:LunrCoreLmdb/LmdbBuilder.cs,177,Use 'string.Contains' instead of 'string.IndexOf' to improve readability,0min,
lunr,d8ca4f03-fdea-43c1-9dff-8367f447c04e,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCoreLmdb/LmdbBuilder.cs,218,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,6min,brain-overload
lunr,441d66a1-1ed8-4ab8-8aa1-00bc2965f0c9,CODE_SMELL,MINOR,csharpsquid:S3267,csharpsquid:S3267,lunr:LunrCoreLmdb/LmdbBuilder.cs,357,Loop should be simplified by calling Select(field => field.Name)),5min,
lunr,f8a284d0-e783-4cde-aa4e-79bed90dee75,CODE_SMELL,MINOR,csharpsquid:S3241,csharpsquid:S3241,lunr:LunrCoreLmdb/LmdbBuilder.cs,424,Change return type to 'void'; not a single caller uses the returned value.,2min,"design,unused"
lunr,cbe381a2-182f-47b5-8878-3adc14aaaeba,CODE_SMELL,MAJOR,csharpsquid:S107,csharpsquid:S107,lunr:LunrCoreLmdb/LmdbIndex.cs,69,"Method has 11 parameters, which is greater than the 7 authorized.",20min,brain-overload
lunr,aca08518-e30c-4f5a-8078-fb3e4bc13242,CODE_SMELL,INFO,external_roslyn:CA1816,external_roslyn:CA1816,lunr:LunrCoreLmdbTests/LmdbBuilderTests.cs,278,Change LmdbBuilderTests.Dispose() to call GC.SuppressFinalize(object). This will prevent derived types that introduce a finalizer from needing to re-implement 'IDisposable' to call it.,0min,
lunr,c531009a-2c8d-43f9-902a-2fab841e316c,CODE_SMELL,INFO,external_roslyn:CA1822,external_roslyn:CA1822,lunr:LunrCoreLmdb/DeserializeContext.cs,40,Member 'ReadBoolean' does not access instance data and can be marked as static,0min,
lunr,eee8e5f4-f5de-48b9-8c02-f9c59d3a8d54,CODE_SMELL,MINOR,csharpsquid:S2325,csharpsquid:S2325,lunr:LunrCoreLmdb/DeserializeContext.cs,40,Make 'ReadBoolean' a static method.,5min,pitfall
lunr,6923622a-de78-4486-ad68-d29ded4e57a1,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCoreLmdb/SerializationExtensions.cs,106,Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.,6min,brain-overload
lunr,911a1d6f-845d-491d-b62b-d1f5e1506efd,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,lunr:LunrCoreLmdb/SerializationExtensions.cs,153,Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.,6min,brain-overload
lunr,c65e7548-f534-4316-87cc-f3f85cad3f8e,CODE_SMELL,MINOR,csharpsquid:S3963,csharpsquid:S3963,lunr:LunrCoreLmdb/SerializeContext.cs,52,Initialize all 'static fields' inline and remove the 'static constructor'.,5min,
lunr,3ebc983e-088e-458e-a25d-a5cc71d409b7,CODE_SMELL,MINOR,csharpsquid:S2325,csharpsquid:S2325,lunr:LunrCoreLmdb/DeserializeContext.cs,19,Make 'ReadInt32' a static method.,5min,pitfall
lunr,4352b17b-f6fe-4324-ae96-19b3cdf35e8e,CODE_SMELL,INFO,external_roslyn:CA1822,external_roslyn:CA1822,lunr:LunrCoreLmdb/DeserializeContext.cs,19,Member 'ReadInt32' does not access instance data and can be marked as static,0min,
lunr,708148a1-933f-4a20-88a9-07b3863e5006,CODE_SMELL,INFO,external_roslyn:CA1822,external_roslyn:CA1822,lunr:LunrCoreLmdb/DeserializeContext.cs,26,Member 'ReadDouble' does not access instance data and can be marked as static,0min,
lunr,be9d7d49-970a-4b5b-a623-04db797613f3,CODE_SMELL,MINOR,csharpsquid:S2325,csharpsquid:S2325,lunr:LunrCoreLmdb/DeserializeContext.cs,26,Make 'ReadDouble' a static method.,5min,pitfall
lunr,a35e0f4f-09fa-40ad-a364-5e3d152b945d,CODE_SMELL,INFO,external_roslyn:CA1822,external_roslyn:CA1822,lunr:LunrCoreLmdb/DeserializeContext.cs,33,Member 'ReadChar' does not access instance data and can be marked as static,0min,
